City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Hirara,JP,2022-07-20 21:15:15,24.8,125.2833,85.19,80,79,12.75
280,Alyangula,AU,2022-07-20 21:15:16,-13.8483,136.4192,67.51,83,36,10.09
281,Kaka,TM,2022-07-20 21:15:16,37.3482,59.6143,88.65,14,0,8.28
282,Kodiak,US,2022-07-20 21:13:45,57.79,-152.4072,54.91,82,0,8.05
283,Bac Lieu,VN,2022-07-20 21:15:17,9.285,105.7244,79.34,83,100,9.24
284,Adrar,MR,2022-07-20 21:13:44,20.5022,-10.0711,95.85,18,19,11.54
285,Avon Park,US,2022-07-20 21:15:19,27.5959,-81.5062,96.8,46,2,8.99
286,Nampula,MZ,2022-07-20 21:15:19,-15.1165,39.2666,64.35,88,0,4.61
287,Vila Velha,BR,2022-07-20 21:12:41,-20.3297,-40.2925,73.35,81,0,9.22
288,Sanandaj,IR,2022-07-20 21:15:20,35.3144,46.9923,78.82,21,0,4.61
289,Miandrivazo,MG,2022-07-20 21:15:21,-19.5167,45.4667,74.48,48,98,6.31
290,Eyl,SO,2022-07-20 21:15:21,7.9803,49.8164,74.59,83,44,17.38
291,Dingle,PH,2022-07-20 21:11:00,10.9995,122.6711,76.53,88,73,1.79
292,Flinders,AU,2022-07-20 21:15:22,-34.5833,150.8552,51.19,94,100,4.0
